#header
Geneid	Chr	Start	End	Strand	Length	bamfiles/Wt1-1a_1415.bam	bamfiles/Wt1-1b_1415.bam	bamfiles/Wt1-1c_1415.bam	bamfiles/Wt1-2a_1415.bam	bamfiles/Wt1-2b_1415.bam	bamfiles/Wt1-3a_1415.bam	bamfiles/Wt1-3b_1415.bam	bamfiles/Wt1-3c_1415.bam	bamfiles/Wt1-4a_1415.bam	bamfiles/Wt1-4b_1415.bam	bamfiles/Wt1-4c_1415.bam	bamfiles/Wt1-5a_1415.bam	bamfiles/Wt1-5b_1415.bam	bamfiles/Wt1-5c_1415.bam	bamfiles/Wt1-6b_1415.bam	bamfiles/Wt1-6c_1415.bam	bamfiles/Wt2-1a_1415.bam	bamfiles/Wt2-1b_1415.bam	bamfiles/Wt2-1c_1415.bam	bamfiles/Wt2-2b_1415.bam	bamfiles/Wt2-2c_1415.bam	bamfiles/Wt2-3a_1415.bam	bamfiles/Wt2-3b_1415.bam	bamfiles/Wt2-3c_1415.bam	bamfiles/Wt2-4a_1415.bam	bamfiles/Wt2-5a_1415.bam	bamfiles/Wt2-5b_1415.bam	bamfiles/Wt2-5c_1415.bam	bamfiles/Wt2-6a_1415.bam	bamfiles/Wt2-6b_1415.bam	bamfiles/Wt2-6c_1415.bam
pdam_00000369	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1040713;1042170;1042460;1043755;1044226;1045224;1046188;1046846;1047267;1047600;1047796;1048186;1049036;1049464;1049830;1050735;1051324;1051940;1052417;1053152;1053820;1054903;1055378	1040923;1042292;1042494;1044067;1044540;1045898;1046416;1046940;1047515;1047698;1047902;1048476;1049173;1049733;1050009;1050950;1051534;1052076;1052671;1053251;1054014;1055039;1056817	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6021	149	91	178	136	67	62	60	29	48	52	37	26	103	99	68	75	122	21	22	2	43	11	31	40	14	61	46	16	43	47	38
pdam_00000370	SczhEnG_1415	1057498	1058565	-	1068	284	159	415	247	322	193	290	186	131	92	88	123	228	314	205	213	628	229	167	24	763	128	356	316	62	354	319	136	283	406	288
pdam_00000371	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1059992;1061175;1061428;1061691;1062210;1062699;1062845;1064372;1064688;1065323;1065896;1066273;1066405;1066936;1067308;1067678;1068777;1069466	1060212;1061299;1061474;1061725;1062275;1062754;1062885;1064465;1064741;1065387;1065995;1066311;1066452;1067090;1067423;1067763;1068854;1069852	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1813	153	135	147	138	217	149	143	224	100	133	153	106	229	266	237	254	313	144	108	12	73	107	137	136	150	212	307	145	295	222	214
pdam_00000372	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1070923;1072442;1073564;1074162;1074397;1074877;1075233;1075701	1071169;1072510;1073642;1074229;1074496;1074927;1075292;1076426	+;+;+;+;+;+;+;+	1400	366	296	423	157	300	140	247	156	231	124	189	177	330	326	292	390	548	351	210	27	252	161	159	150	136	382	320	176	298	203	175
pdam_00000373	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1088729;1090857;1091325;1091522;1091795;1092427;1092718;1093477;1094068;1102086;1102407;1102877;1103383;1103638;1105342	1090202;1091018;1091398;1091548;1091886;1092533;1092987;1093588;1094183;1102141;1102558;1102931;1103410;1103694;1105453	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2894	100	64	118	187	192	120	122	116	108	82	91	89	81	195	58	160	92	67	89	14	282	108	172	188	84	173	169	135	162	128	149
pdam_00000374	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1094638;1094900;1095328;1096104	1094707;1094973;1095489;1096293	+;+;+;+	496	47	33	65	51	48	61	53	90	61	43	57	68	37	109	47	106	41	43	50	2	177	38	70	86	52	74	124	57	115	118	100
pdam_00000375	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1111158;1111454;1112705;1115285;1117044;1117313;1118780	1111160;1112006;1114643;1116847;1117082;1117387;1118864	+;+;+;+;+;+;+	4257	175	79	112	76	116	101	143	133	82	60	94	85	166	203	157	254	189	86	96	3	118	55	97	82	25	157	133	79	181	144	80
pdam_00000376	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1119764;1120623;1122547;1123259;1124912;1126032;1126848;1128380;1130034	1119975;1120725;1122723;1123343;1125087;1126178;1127186;1128562;1130266	-;-;-;-;-;-;-;-;-	1655	5	6	6	6	16	12	13	12	5	18	13	11	18	19	32	30	37	6	8	0	10	11	13	28	17	32	16	17	34	35	32
pdam_00000377	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1130527;1131425;1132733;1133183;1134117;1134684;1135443;1136258;1136634;1137258;1137335;1138044	1130777;1131607;1132905;1133519;1134263;1134859;1135589;1136342;1136822;1137290;1137497;1138709	+;+;+;+;+;+;+;+;+;+;+;+	2550	151	153	171	108	275	71	215	161	108	256	147	182	347	235	471	500	628	320	131	38	125	150	231	229	162	358	211	195	570	399	381
pdam_00000378	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1143214;1151871;1152739;1153854;1154151;1154914;1155699;1156851;1157394;1158555;1160302;1160959;1161407;1163241;1163576;1163797;1164530;1165570;1165933;1166212;1167024;1167686;1168602;1169078;1170280;1170974	1143312;1152126;1152823;1153934;1154296;1155168;1155931;1156954;1158098;1159455;1160430;1161005;1162143;1163426;1163673;1163922;1164650;1165629;1166068;1166431;1167227;1168070;1168769;1169712;1170380;1171121	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6366	156	191	215	90	245	133	166	127	234	179	170	249	362	321	267	356	385	262	199	16	218	119	278	221	219	319	204	147	429	398	352
pdam_00000379	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1175999;1177850;1178956	1176999;1178535;1179705	-;-;-	2437	37	46	43	21	31	55	64	41	38	48	63	44	86	82	92	105	85	51	51	1	34	36	61	45	41	81	64	28	104	87	69
pdam_00000380	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1179837;1180513;1181218;1181869;1182403;1182601;1182925;1183715;1184983;1186429;1186975;1187561;1188011;1188282;1188640;1189211;1189733;1190480;1190769;1191176;1191909;1192201;1192570;1193036;1193376;1194042;1194600;1194844;1195007	1179967;1180714;1181349;1181944;1182488;1182660;1183013;1183860;1185166;1186521;1187065;1187637;1188137;1188374;1188739;1189284;1189860;1190595;1190881;1191323;1191959;1192325;1192649;1193108;1193546;1194194;1194717;1194911;1195411	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3510	95	74	124	58	98	87	99	103	105	85	118	86	195	173	232	225	213	113	124	17	117	107	99	113	168	139	150	112	229	240	213
pdam_00000381	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1205886;1207757;1208057;1208412;1208969;1209503;1209942;1210721;1211206;1212154;1212408;1212842;1213247;1216912;1217374;1217907;1218482;1218815;1219192;1219728;1220520;1220855;1221188;1222072;1222387;1222673;1222912;1223600;1223952;1224864;1225342;1226129;1227072	1206933;1207836;1208093;1208497;1209034;1209628;1210410;1210808;1211290;1212279;1212452;1212978;1213431;1216990;1217554;1218081;1218592;1218858;1219296;1219872;1220605;1220896;1221271;1222140;1222488;1222736;1223022;1223739;1224093;1224955;1225504;1226286;1227820	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5420	70	100	94	70	83	121	110	102	65	75	94	82	190	203	113	183	264	114	78	6	71	43	126	112	59	176	134	48	193	159	136
pdam_00000382	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1246950;1247181;1247868;1248884	1247065;1247338;1248022;1249228	+;+;+;+	774	344	312	314	152	350	222	171	293	183	108	150	222	509	495	345	361	624	456	449	21	232	143	160	126	223	333	565	188	425	259	393
pdam_00000383	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1246982;1252275;1252524;1253136;1253481;1254113;1255425;1255961;1256569;1257293;1257489	1247033;1252370;1252646;1253303;1253611;1254182;1255524;1256161;1256613;1257413;1257527	-;-;-;-;-;-;-;-;-;-;-	1146	56	65	88	28	55	48	51	48	63	35	56	65	127	112	109	87	181	97	92	8	47	65	53	58	75	89	106	76	119	81	109
pdam_00000384	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1259254;1260025;1261189;1261761;1262475;1262768;1263520;1264184;1264954;1265693;1266389;1266688;1267618;1267891;1268086;1268754;1268935;1270224	1259477;1260260;1261285;1262017;1262581;1263049;1263921;1264375;1265035;1265852;1266511;1267035;1267717;1267933;1268198;1268827;1268998;1271045	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3726	127	115	129	62	132	83	71	108	125	84	99	114	169	180	197	220	253	141	180	17	200	84	110	86	125	147	186	99	237	174	181
pdam_00000385	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1271290;1272947;1273693;1274191;1274664	1271625;1273043;1273803;1274253;1276149	+;+;+;+;+	2093	429	322	377	224	318	273	265	313	200	250	264	224	469	468	467	485	631	318	313	50	326	308	256	198	283	433	517	377	448	427	418
pdam_00000386	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1280172;1286458;1287390;1288641;1291810	1280344;1286495;1287556;1288699;1291900	-;-;-;-;-	528	2	0	0	1	0	2	1	0	0	2	2	1	1	0	2	4	0	1	0	0	0	0	1	1	1	2	2	0	1	1	4
pdam_00000387	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1282166;1282572;1284569;1286234;1286900;1287452;1288035;1288440;1288851;1289403;1289822;1290154;1290819;1290974;1291460;1292089;1292626;1293181;1293352;1293862;1294006;1297174;1303445;1303967;1304620;1305412;1305551;1307046;1307725;1308930	1282198;1282654;1284786;1286323;1287002;1287574;1288130;1288575;1288897;1289552;1289865;1290264;1290864;1291001;1291515;1292229;1292694;1293231;1293423;1293934;1294080;1297283;1303480;1304068;1304645;1305476;1306704;1307115;1307895;1309582	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4232	123	94	129	99	159	144	180	232	89	213	154	185	372	216	507	289	500	173	172	23	128	122	202	211	261	249	271	137	409	391	413
pdam_00000388	SczhEnG_1415;SczhEnG_1415	1294349;1294773	1294415;1295926	-;-	1221	2	1	1	0	0	1	1	0	0	0	0	0	2	4	6	0	1	0	0	0	0	3	0	0	0	1	2	0	0	4	0
pdam_00000389	SczhEnG_1415	1298245	1301466	-	3222	111	85	113	76	110	99	74	127	94	75	81	90	121	183	90	158	162	82	90	3	79	53	82	81	50	115	161	73	170	181	129
pdam_00000390	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1313618;1314080;1314328;1314455	1313827;1314139;1314415;1314519	-;-;-;-	423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	1	0
pdam_00000391	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1314941;1319455;1321177;1323343;1326003;1327095	1317250;1319609;1321265;1323495;1326270;1328027	-;-;-;-;-;-	3908	41	38	36	15	8	7	15	5	10	12	22	4	32	21	27	33	13	5	12	0	3	1	3	8	4	13	8	3	17	14	5
pdam_00000392	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1339240;1346575;1346959;1347999;1348299;1348858	1341183;1346690;1347044;1348145;1348566;1349280	-;-;-;-;-;-	2984	0	2	5	1	2	2	1	1	0	0	0	3	3	4	4	8	4	5	1	0	0	0	2	1	0	4	0	0	3	5	5
pdam_00000393	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1359532;1361184;1361664;1362093;1362673;1363493;1364148;1364457;1364844;1365787;1366657;1367165;1367979;1369334;1370514;1370967;1371382;1371944	1360769;1361315;1361847;1362242;1362821;1363609;1364267;1364605;1365170;1366324;1366838;1367477;1368133;1369892;1370716;1371015;1371669;1371955	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4865	83	76	110	41	124	77	70	35	107	80	95	122	163	126	126	136	215	128	83	8	78	53	140	72	85	127	85	54	145	207	155
pdam_00000394	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1377022;1378686;1379886;1380321;1381034;1381276;1382368;1382790;1383207;1383522;1383976;1384366	1377350;1378860;1380033;1380444;1381117;1381417;1382453;1382834;1383297;1383587;1384080;1384660	+;+;+;+;+;+;+;+;+;+;+;+	1690	416	199	333	173	272	194	190	202	145	157	239	212	335	314	310	324	624	368	407	41	404	189	278	187	256	297	378	216	417	400	437
pdam_00000395	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1396562;1397297;1397832;1398590;1399306;1399912;1400454;1400963;1401181;1401468;1402137;1402419;1403426;1404165;1404571;1405412;1405839;1406419;1407048;1407559;1408049;1409408;1409962;1410500;1411688;1412383;1413113;1414020	1396945;1397345;1397966;1398757;1399359;1399989;1400530;1401026;1401277;1401646;1402380;1402845;1403503;1404249;1404895;1405511;1405983;1406495;1407158;1407616;1408514;1409486;1410057;1410617;1411803;1412523;1413226;1414330	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4376	145	104	152	72	149	120	115	152	132	122	131	159	238	208	226	217	302	140	174	13	147	114	149	118	179	162	262	124	289	294	265
pdam_00000396	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1416864;1416963;1417164;1418089;1419000;1420212;1420937	1416875;1417136;1417272;1418172;1419092;1420298;1421247	+;+;+;+;+;+;+	870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pdam_00000397	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1425372;1426456;1427945	1425716;1426975;1429209	-;-;-	2130	64	37	54	22	47	55	42	54	44	47	42	39	78	83	77	105	113	61	67	7	30	36	56	46	54	90	65	44	101	76	74
pdam_00000398	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1432874;1433812;1436747	1433212;1434331;1437732	-;-;-	1845	35	39	35	17	44	36	34	35	25	31	37	36	63	54	66	74	61	32	51	0	27	45	53	42	58	44	63	49	106	71	75
pdam_00000399	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1438811;1440982;1442134;1442583;1442913;1443591;1444191;1444564;1444987;1445595;1446234;1446810;1446954;1447606;1448152;1448353;1448698;1449236;1449678;1450387;1450548;1450719;1451103;1451732;1452384;1452614;1452934;1453480;1454335;1454840;1455615;1455884;1456803;1457561;1462162;1462663	1440181;1441027;1442187;1442680;1442983;1443657;1444265;1444637;1445080;1445678;1446338;1446864;1447137;1447682;1448224;1448393;1448815;1449341;1449758;1450463;1450596;1450764;1451194;1451812;1452489;1452684;1453053;1453551;1454553;1454949;1455684;1455964;1456906;1457655;1462277;1463189	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4910	731	621	963	374	370	609	964	615	597	401	723	441	1292	1086	878	1115	1189	607	432	36	358	315	630	560	558	1229	914	370	908	614	631
pdam_00000400	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1441842;1442765;1444463;1448505;1453467;1458677;1461941	1441908;1442796;1444651;1448556;1453510;1459006;1461958	+;+;+;+;+;+;+	732	3	1	3	3	2	1	2	2	2	3	4	0	10	5	8	8	10	1	3	0	3	0	6	4	3	2	11	0	18	1	3
pdam_00000401	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1463822;1466365;1466825;1467278;1467445;1468171;1468318;1469902;1472510;1472877;1474374;1475653;1476132;1478393	1465724;1466455;1466916;1467349;1467520;1468213;1468417;1470039;1472567;1473747;1474638;1475688;1477120;1479768	-;-;-;-;-;-;-;-;-;-;-;-;-;-	6110	492	470	544	336	355	417	432	326	463	389	483	393	670	712	652	755	878	500	370	47	235	358	458	406	421	749	664	435	788	610	613
pdam_00000402	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1463865;1465990;1466065;1470171;1471635;1472986;1478058	1464084;1466031;1466116;1470308;1471668;1473054;1478105	+;+;+;+;+;+;+	603	0	1	0	1	4	0	2	0	3	2	2	0	1	1	2	2	0	0	0	0	0	0	0	1	1	3	3	0	3	0	0
pdam_00000403	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1484116;1484997;1485813;1486598;1486822	1484522;1485271;1486179;1486663;1488004	-;-;-;-;-	2298	287	233	279	129	299	206	218	292	180	182	252	209	308	374	334	405	402	271	311	33	273	252	196	196	245	339	419	242	469	419	392
pdam_00000404	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1488638;1489253;1490137;1491093;1491842;1492363;1492894;1493565;1494451;1494745;1495402;1495688;1496229;1496528;1497077;1497338	1489036;1489330;1490226;1491325;1492048;1492435;1493016;1493685;1494573;1494855;1495487;1495756;1496367;1496595;1497163;1497451	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2121	74	71	99	51	84	92	78	83	70	80	62	96	192	129	158	149	202	114	114	10	91	97	112	97	132	136	140	116	187	190	177
pdam_00000405	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1500398;1501195;1501850;1502424;1503102;1503604;1503927;1504986;1508473	1501015;1501272;1501927;1502864;1503278;1503765;1504031;1505040;1508624	-;-;-;-;-;-;-;-;-	1866	39	82	46	41	77	68	86	63	71	77	86	69	98	129	133	191	110	72	57	6	82	103	96	126	84	94	98	121	231	172	134
pdam_00000406	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1513920;1515639;1516357;1516850;1517328;1518897;1520028;1520881	1515367;1516014;1516434;1516933;1517492;1519001;1520076;1521417	-;-;-;-;-;-;-;-	2842	325	315	322	224	291	316	229	279	293	207	319	317	718	547	626	535	904	251	320	28	180	307	374	389	330	492	454	392	633	534	617
pdam_00000407	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1524180;1525998;1526458;1526901;1527452;1528039;1528444;1528870;1530161	1525595;1526373;1526535;1526981;1527613;1528143;1528492;1529108;1530254	-;-;-;-;-;-;-;-;-	2600	3	0	3	1	4	4	4	1	1	0	1	1	1	1	3	2	2	1	2	0	1	0	0	2	3	2	3	0	2	1	2
pdam_00000408	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1530617;1532676;1535080	1532225;1532975;1535820	-;-;-	2650	396	339	413	188	243	243	202	309	261	251	249	267	520	518	480	494	642	254	320	18	290	187	244	199	225	369	443	215	523	379	409
pdam_00000409	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1537779;1539349;1539724;1540244;1540752;1540945;1541514;1541948;1543770;1544060	1538993;1539438;1539852;1540317;1540847;1541064;1541561;1542058;1543838;1544248	-;-;-;-;-;-;-;-;-;-	2141	387	409	501	256	306	472	698	436	428	451	513	490	871	956	879	1338	988	431	365	26	306	450	566	504	439	1089	737	514	1143	764	743
pdam_00000410	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1546200;1547920;1548867;1549266	1546595;1548176;1548919;1550816	+;+;+;+	2257	352	320	303	212	292	230	210	256	203	223	328	206	467	447	447	460	586	356	341	22	258	196	266	220	269	400	410	230	457	410	378
pdam_00000411	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1551252;1551524;1552753;1553205;1553728;1556144	1551374;1551609;1552856;1553302;1555122;1556803	+;+;+;+;+;+	2466	137	98	147	49	126	92	110	143	69	66	71	94	166	180	190	278	260	182	130	21	96	101	99	87	101	211	256	152	269	193	233
pdam_00000412	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1553014;1553725;1554915;1556156;1559278	1553299;1554539;1555122;1556251;1559662	-;-;-;-;-	1790	5	7	1	8	7	5	8	4	8	6	9	10	11	14	26	6	36	12	6	1	0	4	8	11	11	17	11	7	13	7	10
pdam_00000413	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	1561254;1561848;1562527;1562906;1563159;1563429;1563970;1564199;1564793;1565578	1561645;1561923;1562745;1562920;1563308;1563481;1564099;1564412;1564964;1565722	-;-;-;-;-;-;-;-;-;-	1566	53	54	57	75	74	83	85	104	59	72	114	82	157	114	149	147	134	66	79	5	26	68	101	110	107	144	172	81	227	149	211
